timestamp,zone_id,gas_ppm,temperature_c,pressure_kpa
2026-07-04 09:00:00,zone_a,38.8,26.3,100.55
2026-07-04 09:00:00,zone_b,20.0,34.1,101.35
2026-07-04 09:00:00,zone_c,50.1,27.0,100.84
2026-07-04 09:00:00,zone_d,11.3,28.4,101.01
2026-07-04 09:00:30,zone_a,11.2,28.2,101.3
2026-07-04 09:00:30,zone_b,34.5,28.4,101.18
2026-07-04 09:00:30,zone_c,46.4,26.1,101.61
2026-07-04 09:00:30,zone_d,41.4,29.7,100.31
2026-07-04 09:01:00,zone_a,53.1,29.7,100.19
2026-07-04 09:01:00,zone_b,14.4,35.3,101.21
2026-07-04 09:01:00,zone_c,46.3,34.0,101.07
2026-07-04 09:01:00,zone_d,53.8,30.2,101.1
2026-07-04 09:01:30,zone_a,47.3,32.8,101.72
2026-07-04 09:01:30,zone_b,36.0,33.8,100.09
2026-07-04 09:01:30,zone_c,20.3,29.2,100.16
2026-07-04 09:01:30,zone_d,20.5,27.1,100.56
2026-07-04 09:02:00,zone_a,38.6,30.0,100.74
2026-07-04 09:02:00,zone_b,19.4,28.9,101.87
2026-07-04 09:02:00,zone_c,39.2,32.7,100.34
2026-07-04 09:02:00,zone_d,42.8,27.8,100.76
2026-07-04 09:02:30,zone_a,54.5,33.0,101.11
2026-07-04 09:02:30,zone_b,40.8,35.3,101.55
2026-07-04 09:02:30,zone_c,20.3,26.4,100.63
2026-07-04 09:02:30,zone_d,22.0,28.3,101.89
2026-07-04 09:03:00,zone_a,49.4,29.5,101.31
2026-07-04 09:03:00,zone_b,27.8,36.1,100.92
2026-07-04 09:03:00,zone_c,21.9,28.7,101.12
2026-07-04 09:03:00,zone_d,21.8,32.4,101.8
2026-07-04 09:03:30,zone_a,28.0,28.4,102.0
2026-07-04 09:03:30,zone_b,32.9,27.0,100.09
2026-07-04 09:03:30,zone_c,14.9,32.9,101.58
2026-07-04 09:03:30,zone_d,29.0,26.7,100.76
2026-07-04 09:04:00,zone_a,54.8,31.8,101.94
2026-07-04 09:04:00,zone_b,48.7,26.1,101.44
2026-07-04 09:04:00,zone_c,40.7,31.9,100.53
2026-07-04 09:04:00,zone_d,38.8,27.2,100.87
2026-07-04 09:04:30,zone_a,30.4,36.5,101.75
2026-07-04 09:04:30,zone_b,21.9,31.5,100.36
2026-07-04 09:04:30,zone_c,51.1,35.6,100.6
2026-07-04 09:04:30,zone_d,38.8,32.7,100.31
2026-07-04 09:05:00,zone_a,44.3,31.9,101.56
2026-07-04 09:05:00,zone_b,33.9,26.0,100.65
2026-07-04 09:05:00,zone_c,10.9,36.2,101.76
2026-07-04 09:05:00,zone_d,47.4,29.4,100.12
2026-07-04 09:05:30,zone_a,49.5,36.4,100.17
2026-07-04 09:05:30,zone_b,31.9,26.8,101.52
2026-07-04 09:05:30,zone_c,44.5,27.4,100.95
2026-07-04 09:05:30,zone_d,34.7,28.9,101.74
2026-07-04 09:06:00,zone_a,29.0,28.3,101.08
2026-07-04 09:06:00,zone_b,42.8,28.2,100.62
2026-07-04 09:06:00,zone_c,54.8,33.1,100.88
2026-07-04 09:06:00,zone_d,33.3,27.3,100.45
2026-07-04 09:06:30,zone_a,25.2,32.5,100.46
2026-07-04 09:06:30,zone_b,19.9,26.8,101.26
2026-07-04 09:06:30,zone_c,20.3,36.0,101.72
2026-07-04 09:06:30,zone_d,13.2,28.6,101.34
2026-07-04 09:07:00,zone_a,19.6,27.5,101.87
2026-07-04 09:07:00,zone_b,35.7,31.2,101.57
2026-07-04 09:07:00,zone_c,46.3,28.1,100.19
2026-07-04 09:07:00,zone_d,29.4,30.7,100.93
2026-07-04 09:07:30,zone_a,42.8,33.4,101.97
2026-07-04 09:07:30,zone_b,14.4,30.4,100.68
2026-07-04 09:07:30,zone_c,48.8,28.7,100.38
2026-07-04 09:07:30,zone_d,30.2,30.6,100.56
2026-07-04 09:08:00,zone_a,21.2,36.2,100.89
2026-07-04 09:08:00,zone_b,48.8,32.1,100.1
2026-07-04 09:08:00,zone_c,55.0,35.2,101.94
2026-07-04 09:08:00,zone_d,51.7,35.3,100.33
2026-07-04 09:08:30,zone_a,31.9,28.4,100.8
2026-07-04 09:08:30,zone_b,12.6,30.2,101.97
2026-07-04 09:08:30,zone_c,21.9,34.6,100.91
2026-07-04 09:08:30,zone_d,29.0,36.5,101.99
2026-07-04 09:09:00,zone_a,35.0,33.9,100.31
2026-07-04 09:09:00,zone_b,23.4,36.7,101.16
2026-07-04 09:09:00,zone_c,34.4,34.2,100.11
